Pid      Process              Base         InLoad   InInit   InMem    MappedPath
740      lsass.exe            0x1000000    1        0        1        \WINDOWS\system32\lsass.exe
740      lsass.exe            0x7c900000   1        1        1        \WINDOWS\system32\ntdll.dll
740      lsass.exe            0x77be0000   1        1        1        \WINDOWS\system32\msacm32.dll
740      lsass.exe            0x76b40000   1        1        1        \WINDOWS\system32\winmm.dll
740      lsass.exe            0x4d200000   1        1        1        \WINDOWS\system32\msprivs.dll
740      lsass.exe            0x76f60000   1        1        1        \WINDOWS\system32\wldap32.dll
740      lsass.exe            0x77c00000   1        1        1        \WINDOWS\system32\version.dll
740      lsass.exe            0x5ad70000   1        1        1        \WINDOWS\system32\uxtheme.dll
740      lsass.exe            0x774e0000   1        1        1        \WINDOWS\system32\ole32.dll
740      lsass.exe            0x75d90000   1        1        1        \WINDOWS\system32\oakley.dll
740      lsass.exe            0x77c70000   1        1        1        \WINDOWS\system32\msv1_0.dll
740      lsass.exe            0x743a0000   1        1        1        \WINDOWS\system32\pstorsvc.dll
740      lsass.exe            0x743c0000   1        1        1        \WINDOWS\system32\psbase.dll
740      lsass.exe            0x77dd0000   1        1        1        \WINDOWS\system32\advapi32.dll
740      lsass.exe            0x77a80000   1        1        1        \WINDOWS\system32\crypt32.dll
740      lsass.exe            0x743e0000   1        1        1        \WINDOWS\system32\ipsecsvc.dll
740      lsass.exe            0x68000000   1        1        1        \WINDOWS\system32\rsaenh.dll
740      lsass.exe            0x74440000   1        1        1        \WINDOWS\system32\samsrv.dll
740      lsass.exe            0x71a50000   1        1        1        \WINDOWS\system32\mswsock.dll
740      lsass.exe            0x5b860000   1        1        1        \WINDOWS\system32\netapi32.dll
740      lsass.exe            0x767f0000   1        1        1        \WINDOWS\system32\schannel.dll
740      lsass.exe            0x6f880000   1        1        1        \WINDOWS\AppPatch\acgenral.dll
740      lsass.exe            0x71a90000   1        1        1        \WINDOWS\system32\wshtcpip.dll
740      lsass.exe            0x71ab0000   1        1        1        \WINDOWS\system32\ws2_32.dll
740      lsass.exe            0x74370000   1        1        1        \WINDOWS\system32\winipsec.dll
740      lsass.exe            0x767a0000   1        1        1        \WINDOWS\system32\ntdsapi.dll
740      lsass.exe            0x77920000   1        1        1        \WINDOWS\system32\setupapi.dll
740      lsass.exe            0x7e410000   1        1        1        \WINDOWS\system32\user32.dll
740      lsass.exe            0x68100000   1        1        1        \WINDOWS\system32\dssenh.dll
740      lsass.exe            0x76080000   1        1        1        \WINDOWS\system32\msvcp60.dll
740      lsass.exe            0x77f10000   1        1        1        \WINDOWS\system32\gdi32.dll
740      lsass.exe            0x77120000   1        1        1        \WINDOWS\system32\oleaut32.dll
740      lsass.exe            0x7dfc0000   1        1        1        \WINDOWS\system32\wdigest.dll
740      lsass.exe            0x71b20000   1        1        1        \WINDOWS\system32\mpr.dll
740      lsass.exe            0x76d60000   1        1        1        \WINDOWS\system32\iphlpapi.dll
740      lsass.exe            0x5cb70000   1        1        1        \WINDOWS\system32\shimeng.dll
740      lsass.exe            0x767c0000   1        1        1        \WINDOWS\system32\w32time.dll
740      lsass.exe            0x76790000   1        1        1        \WINDOWS\system32\cryptdll.dll
740      lsass.exe            0x77e70000   1        1        1        \WINDOWS\system32\rpcrt4.dll
740      lsass.exe            0x77c10000   1        1        1        \WINDOWS\system32\msvcrt.dll
740      lsass.exe            0x769c0000   1        1        1        \WINDOWS\system32\userenv.dll
