Offset     Obj Type   #Ptr #Hnd Start        Size Service key          Name
0x024055b8 0x825b25b8    4    0 0xf8982000  24576 'Kbdclass'           'Kbdclass'   '\\Driver\\Kbdclass'
0x0240e5b8 0x825b25b8    4    0 0xf7bc8000  80128 'Parport'            'Parport'    '\\Driver\\Parport'
0x02421688 0x825b25b8   10    0 0xf84e6000  96512 'atapi'              'atapi'      '\\Driver\\atapi'
0x02421998 0x825b25b8    5    0 0xf86ba000  52352 'VolSnap'            'VolSnap'    '\\Driver\\VolSnap'
0x0242e188 0x825b25b8    3    0 0xf86ea000  42368 'agp440'             'agp440'     '\\Driver\\agp440'
0x02434360 0x825b25b8    4    0 0xf7b8d000  95488 'vmx_svga'           'vmx_svga'   '\\Driver\\vmx_svga'
0x02454438 0x825b25b8    5    0 0xf30c1000  83072 'wdmaud'             'wdmaud'     '\\Driver\\wdmaud'
0x0245d2f8 0x825b25b8    6    0 0xf898a000  23040 'Mouclass'           'Mouclass'   '\\Driver\\Mouclass'
0x024662c0 0x825b25b8   18    0 0xf83e3000 182656 'NDIS'               'NDIS'       '\\Driver\\NDIS'
0x024666d8 0x825b25b8    4    0 0xf8410000 574976 'Ntfs'               'Ntfs'       '\\FileSystem\\Ntfs'
0x0246a730 0x825b25b8    4    0 0xf84fe000  92160 'vmci'               'vmci'       '\\Driver\\vmci'
0x0246a828 0x825b25b8    4    0 0xf8922000  19712 'PartMgr'            'PartMgr'    '\\Driver\\PartMgr'
0x0246b860 0x825b25b8    6    0 0xf8515000 153344 'dmio'               'dmio'       '\\Driver\\dmio'
0x0246c030 0x825b25b8    4    0 0xf869a000  37248 'isapnp'             'isapnp'     '\\Driver\\isapnp'
0x0246f550 0x825b25b8    7    0 0xf3727000 361600 'Tcpip'              'Tcpip'      '\\Driver\\Tcpip'
0x024707e0 0x825b25b8    3    0 0xf872a000  34560 'Wanarp'             'Wanarp'     '\\Driver\\Wanarp'
0x02470c58 0x825b25b8    3    0 0xf8378000   8832 'RasAcd'             'RasAcd'     '\\Driver\\RasAcd'
0x02471978 0x825b25b8    3    0 0xf89e2000  19072 'Msfs'               'Msfs'       '\\FileSystem\\Msfs'
0x02478340 0x825b25b8    4    0 0xf35f8000 456320 'MRxSmb'             'MRxSmb'     '\\FileSystem\\MRxSmb'
0x0247b328 0x825b25b8    5    0 0xf7ad9000 196224 'rdpdr'              'rdpdr'      '\\Driver\\rdpdr'
0x024847b8 0x825b25b8    4    0 0xf8992000  27392 'Fdc'                'Fdc'        '\\Driver\\Fdc'
0x02488378 0x825b25b8    3    0 0xf36dd000 138496 'AFD'                'AFD'        '\\Driver\\AFD'
0x024bf458 0x825b25b8    7    0 0xf8bb8000   7936 'Fs_Rec'             'Fs_Rec'     '\\FileSystem\\Fs_Rec'
0x024ca6e8 0x825b25b8    3    0 0xf871a000  44544 'Fips'               'Fips'       '\\Driver\\Fips'
0x024d22c0 0x825b25b8    3    0 0xf3780000  75264 'IPSec'              'IPSec'      '\\Driver\\IPSec'
0x024e5140 0x825b25b8    3    0 0xf89a2000  23296 'vmxnet'             'vmxnet'     '\\Driver\\vmxnet'
0x024e5238 0x825b25b8    4    0 0xf899a000  20608 'usbuhci'            'usbuhci'    '\\Driver\\usbuhci'
0x024e8908 0x825b25b8    4    0 0xf84c6000 129792 'FltMgr'             'FltMgr'     '\\FileSystem\\FltMgr'
0x024ea458 0x825b25b8    3    0 0xf3296000  60800 'sysaudio'           'sysaudio'   '\\Driver\\sysaudio'
0x024fc3b8 0x825b25b8    3    0 0xf8bbc000   4224 'mnmdd'              'mnmdd'      '\\Driver\\mnmdd'
0x024fd7b8 0x825b25b8    3    0 0xf3690000 175744 'Rdbss'              'Rdbss'      '\\FileSystem\\Rdbss'
0x02507d38 0x825b25b8    3    0 0xf887a000  36352 'intelppm'           'intelppm'   '\\Driver\\intelppm'
0x0250e9b8 0x825b25b8    4    0 0xf3496000 101120 'BthPan'             'BthPan'     '\\Driver\\BthPan'
0x025154b0 0x825b25b8    4    0 0xf885a000  40704 'es1371'             'es1371'     '\\Driver\\es1371'
0x02515b10 0x825b25b8    3    0 0xf883a000  62976 'Cdrom'              'Cdrom'      '\\Driver\\Cdrom'
0x02538910 0x825b25b8    3    0 0xf849d000  92928 'KSecDD'             'KSecDD'     '\\Driver\\KSecDD'
0x02538a08 0x825b25b8    6    0 0xf84b4000  73472 'sr'                 'sr'         '\\FileSystem\\sr'
0x0254f1e0 0x825b25b8    5    0 0xf8b9e000   5504 'IntelIde'           'IntelIde'   '\\Driver\\IntelIde'
0x025a8030 0x825b25b8   80    0 0xf855a000  68224 'PCI'                'PCI'        '\\Driver\\PCI'
0x025ab0b8 0x825b25b8    4    0 0xf8aae000  10240 'Compbatt'           'Compbatt'   '\\Driver\\Compbatt'
0x025ab228 0x825b25b8    5    0 0x00000000      0                      'RAW'        '\\FileSystem\\RAW'
0x025ad488 0x825b25b8    3    0 0xf8ba0000   5888 'dmload'             'dmload'     '\\Driver\\dmload'
0x025adbc8 0x825b25b8    4    0 0x00000000      0 '\\Driver\\WMIxWDM'  'WMIxWDM'    '\\Driver\\WMIxWDM'
0x025c91c8 0x825b25b8    7    0 0xf86aa000  42368 'MountMgr'           'MountMgr'   '\\Driver\\MountMgr'
0x025e3570 0x825b25b8   64    0 0xf856b000 187776 'ACPI'               'ACPI'       '\\Driver\\ACPI'
0x025e71b8 0x825b25b8    4    0 0x00000000      0 '\\Driver\\ACPI_HAL' 'ACPI_HAL'   '\\Driver\\ACPI_HAL'
0x025eb318 0x825b25b8   59    0 0x00000000      0 '\\Driver\\PnpManager' 'PnpManager' '\\Driver\\PnpManager'
