SSDT[0] at 80501b8c with 284 entries
  Entry 0x0046: 0x8060d4a2 (NtEnumerateBootEntries) owned by ntoskrnl.exe
  Entry 0x0047: 0x8061b42e (NtEnumerateKey) owned by ntoskrnl.exe
  Entry 0x0048: 0x8060d494 (NtEnumerateSystemEnvironmentValuesEx) owned by ntoskrnl.exe
  Entry 0x0049: 0x8061b698 (NtEnumerateValueKey) owned by ntoskrnl.exe
  Entry 0x004a: 0x805a9258 (NtExtendSection) owned by ntoskrnl.exe
  Entry 0x004b: 0x805e3b44 (NtFilterToken) owned by ntoskrnl.exe
  Entry 0x004c: 0x8060c9c8 (NtFindAtom) owned by ntoskrnl.exe
  Entry 0x004d: 0x8056bfda (NtFlushBuffersFile) owned by ntoskrnl.exe
  Entry 0x004e: 0x805abf76 (NtFlushInstructionCache) owned by ntoskrnl.exe
  Entry 0x004f: 0x8061b902 (NtFlushKey) owned by ntoskrnl.exe
  Entry 0x0050: 0x805a1be6 (NtFlushVirtualMemory) owned by ntoskrnl.exe
  Entry 0x0051: 0x805abf18 (NtFlushWriteBuffer) owned by ntoskrnl.exe
  Entry 0x0052: 0x805aba88 (NtFreeUserPhysicalPages) owned by ntoskrnl.exe
  Entry 0x0053: 0x805a852e (NtFreeVirtualMemory) owned by ntoskrnl.exe
  Entry 0x0054: 0x8056e568 (NtFsControlFile) owned by ntoskrnl.exe
  Entry 0x0055: 0x805c8da6 (NtGetContextThread) owned by ntoskrnl.exe
  Entry 0x0056: 0x805be624 (NtGetDevicePowerState) owned by ntoskrnl.exe
  Entry 0x0057: 0x8058e694 (NtGetPlugPlayEvent) owned by ntoskrnl.exe
  Entry 0x0058: 0x8051d9a2 (NtGetWriteWatch) owned by ntoskrnl.exe
  Entry 0x0059: 0x805ef68c (NtImpersonateAnonymousToken) owned by ntoskrnl.exe
  Entry 0x005a: 0x8059a5a8 (NtImpersonateClientOfPort) owned by ntoskrnl.exe
  Entry 0x005b: 0x805cdc1a (NtImpersonateThread) owned by ntoskrnl.exe
  Entry 0x005c: 0x80618d24 (NtInitializeRegistry) owned by ntoskrnl.exe
  Entry 0x005d: 0x805be3fc (NtInitiatePowerAction) owned by ntoskrnl.exe
  Entry 0x005e: 0x805cb642 (NtIsProcessInJob) owned by ntoskrnl.exe
  Entry 0x005f: 0x805be610 (NtIsSystemResumeAutomatic) owned by ntoskrnl.exe
  Entry 0x0060: 0x8059a7b4 (NtListenPort) owned by ntoskrnl.exe
  Entry 0x0061: 0x80579694 (NtLoadDriver) owned by ntoskrnl.exe
  Entry 0x0062: 0x8061ce06 (NtLoadKey) owned by ntoskrnl.exe
  Entry 0x0063: 0x8061ca12 (NtLoadKey2) owned by ntoskrnl.exe
  Entry 0x0064: 0x8056e59c (NtLockFile) owned by ntoskrnl.exe
  Entry 0x0065: 0x80609f90 (NtLockProductActivationKeys) owned by ntoskrnl.exe
  Entry 0x0066: 0x8061aab2 (NtLockRegistryKey) owned by ntoskrnl.exe
  Entry 0x0067: 0x805ac07e (NtLockVirtualMemory) owned by ntoskrnl.exe
  Entry 0x0068: 0x805b522c (NtMakePermanentObject) owned by ntoskrnl.exe
  Entry 0x0069: 0x805b1e1c (NtMakeTemporaryObject) owned by ntoskrnl.exe
  Entry 0x006a: 0x805aa9e0 (NtMapUserPhysicalPages) owned by ntoskrnl.exe
  Entry 0x006b: 0x805aafb8 (NtMapUserPhysicalPagesScatter) owned by ntoskrnl.exe
  Entry 0x006c: 0x805a75ae (NtMapViewOfSection) owned by ntoskrnl.exe
  Entry 0x006d: 0x805be602 (NtModifyBootEntry) owned by ntoskrnl.exe
  Entry 0x006e: 0x8056f1cc (NtNotifyChangeDirectoryFile) owned by ntoskrnl.exe
  Entry 0x006f: 0x8061cdd0 (NtNotifyChangeKey) owned by ntoskrnl.exe
  Entry 0x0070: 0x8061ba04 (NtNotifyChangeMultipleKeys) owned by ntoskrnl.exe
  Entry 0x0071: 0x805b3e7e (NtOpenDirectoryObject) owned by ntoskrnl.exe
  Entry 0x0072: 0x80605b84 (NtOpenEvent) owned by ntoskrnl.exe
  Entry 0x0073: 0x8060ddf0 (NtOpenEventPair) owned by ntoskrnl.exe
  Entry 0x0074: 0x8056f48c (NtOpenFile) owned by ntoskrnl.exe
  Entry 0x0075: 0x8056de24 (NtOpenIoCompletion) owned by ntoskrnl.exe
  Entry 0x0076: 0x805cbbcc (NtOpenJobObject) owned by ntoskrnl.exe
  Entry 0x0077: 0x8061bfc0 (NtOpenKey) owned by ntoskrnl.exe
  Entry 0x0078: 0x8060e1e8 (NtOpenMutant) owned by ntoskrnl.exe
  Entry 0x0079: 0x805eb052 (NtOpenObjectAuditAlarm) owned by ntoskrnl.exe
  Entry 0x007a: 0x805c13e2 (NtOpenProcess) owned by ntoskrnl.exe
  Entry 0x007b: 0x805e4332 (NtOpenProcessToken) owned by ntoskrnl.exe
  Entry 0x007c: 0x805e3f96 (NtOpenProcessTokenEx) owned by ntoskrnl.exe
  Entry 0x007d: 0x8059f836 (NtOpenSection) owned by ntoskrnl.exe
  Entry 0x007e: 0x8060bbb4 (NtOpenSemaphore) owned by ntoskrnl.exe
  Entry 0x007f: 0x805b98b8 (NtOpenSymbolicLinkObject) owned by ntoskrnl.exe
  Entry 0x0080: 0x805c166e (NtOpenThread) owned by ntoskrnl.exe
  Entry 0x0081: 0x805e4350 (NtOpenThreadToken) owned by ntoskrnl.exe
  Entry 0x0082: 0x805e4106 (NtOpenThreadTokenEx) owned by ntoskrnl.exe
  Entry 0x0083: 0x8060db02 (NtOpenTimer) owned by ntoskrnl.exe
  Entry 0x0084: 0x8063c84c (NtPlugPlayControl) owned by ntoskrnl.exe
  Entry 0x0085: 0x805bf492 (NtPowerInformation) owned by ntoskrnl.exe
  Entry 0x0086: 0x805ee73e (NtPrivilegeCheck) owned by ntoskrnl.exe
  Entry 0x0087: 0x805ea364 (NtPrivilegeObjectAuditAlarm) owned by ntoskrnl.exe
  Entry 0x0088: 0x805ea550 (NtPrivilegedServiceAuditAlarm) owned by ntoskrnl.exe
  Entry 0x0089: 0x805adb46 (NtProtectVirtualMemory) owned by ntoskrnl.exe
  Entry 0x008a: 0x80605c3c (NtPulseEvent) owned by ntoskrnl.exe
  Entry 0x008b: 0x8056c1c0 (NtQueryAttributesFile) owned by ntoskrnl.exe
  Entry 0x008c: 0x8060d4a2 (NtQueryBootEntryOrder) owned by ntoskrnl.exe
  Entry 0x008d: 0x8060d4a2 (NtQueryBootOptions) owned by ntoskrnl.exe
  Entry 0x008e: 0x8053c0ee (NtQueryDebugFilterState) owned by ntoskrnl.exe
  Entry 0x008f: 0x806077c8 (NtQueryDefaultLocale) owned by ntoskrnl.exe
  Entry 0x0090: 0x80608428 (NtQueryDefaultUILanguage) owned by ntoskrnl.exe
  Entry 0x0091: 0x8056f166 (NtQueryDirectoryFile) owned by ntoskrnl.exe
  Entry 0x0092: 0x805b3f1e (NtQueryDirectoryObject) owned by ntoskrnl.exe
  Entry 0x0093: 0x8056f4bc (NtQueryEaFile) owned by ntoskrnl.exe
  Entry 0x0094: 0x80605d04 (NtQueryEvent) owned by ntoskrnl.exe
  Entry 0x0095: 0x8056c314 (NtQueryFullAttributesFile) owned by ntoskrnl.exe
  Entry 0x0096: 0x8060cc3c (NtQueryInformationAtom) owned by ntoskrnl.exe
  Entry 0x0097: 0x8056fd38 (NtQueryInformationFile) owned by ntoskrnl.exe
  Entry 0x0098: 0x805cc09e (NtQueryInformationJobObject) owned by ntoskrnl.exe
  Entry 0x0099: 0x8059a812 (NtQueryInformationPort) owned by ntoskrnl.exe
  Entry 0x009a: 0x805c2d48 (NtQueryInformationProcess) owned by ntoskrnl.exe
  Entry 0x009b: 0x805c1914 (NtQueryInformationThread) owned by ntoskrnl.exe
  Entry 0x009c: 0x805e4430 (NtQueryInformationToken) owned by ntoskrnl.exe
  Entry 0x009d: 0x80607bc6 (NtQueryInstallUILanguage) owned by ntoskrnl.exe
  Entry 0x009e: 0x8060e9b2 (NtQueryIntervalProfile) owned by ntoskrnl.exe
  Entry 0x009f: 0x8056decc (NtQueryIoCompletion) owned by ntoskrnl.exe
  Entry 0x00a0: 0x8061c302 (NtQueryKey) owned by ntoskrnl.exe
  Entry 0x00a1: 0x80619d30 (NtQueryMultipleValueKey) owned by ntoskrnl.exe
  Entry 0x00a2: 0x8060e290 (NtQueryMutant) owned by ntoskrnl.exe
  Entry 0x00a3: 0x805bb18a (NtQueryObject) owned by ntoskrnl.exe
  Entry 0x00a4: 0x8061a3dc (NtQueryOpenSubKeys) owned by ntoskrnl.exe
  Entry 0x00a5: 0x8060ea40 (NtQueryPerformanceCounter) owned by ntoskrnl.exe
